❤擦边短剧❤1,#genre#
女秘书,https://t0.97img.com/a1000191/a.m3u8
大豪客,https://v10.qsstvw.com/wjv10/202511/29/T1VwrhRki097/video/1000k_720/hls/index.m3u8
破咒师,https://v2.ppqrrs.com/wjv2/202508/11/srz8vjfieu74/video/1000k_720/hls/index.m3u8
清羽记,https://ckbhm3u8.com/20251203/JF8mA3SL/index.m3u8
上门小厨,https://v11.ppqrrs.com/wjv11/202604/13/KDaJjjcNyp91/video/1000k_720/hls/index.m3u8
失控边界,https://v9.ppqrrs.com/wjv9/202604/13/NCNY0gkADp89/video/1000k_720/hls/index.m3u8
职场趣闻,https://v9.ppqrrs.com/wjv9/202601/15/GtSB6eQbxF97/video/1000k_720/hls/index.m3u8
王者归来,https://p.bvvvvvvv7f.com/video/wangzheguilaicabianju/%E5%85%A8%E9%9B%86/index.m3u8
人间逍遥,https://v14.wsyzym3u8.com/202511/29/EH8qEBCeMc20/video/2000k_1080/hls/index.m3u8
交换人生,https://ckbhm3u8.com/20251205/nDmvhzcY/index.m3u8
浮生如梦,https://ckbhm3u8.com/20251109/sAp9a6Nn/index.m3u8
小二传奇,https://v2.qsstvw.com/wjv2/202512/08/aAwgLrtXsL97/video/1000k_720/hls/index.m3u8
飞上蓝天,https://v3.ppqrrs.com/wjv3/202406/13/giy6CnDKqF75/video/1000k_720/hls/index.m3u8
深情错爱,https://vodcnd13.myqqdd.com/20251214/67zthsjd/index.m3u8
主播妹妹,https://hn.bfvvs.com/play/Rb4ZRxke/index.m3u8?
村超小峰,https://v11.ppqrrs.com/wjv11/202511/29/TrBaYpHG3V89/video/1000k_720/hls/index.m3u8
完美逆袭,https://vvip.high26-playback.com/20260728/25073_8141c60e/3000k/hls/mixed.m3u8
职场升职,https://v2.ppqrrs.com/wjv2/202512/03/wZJcdeBtDB91/video/1000k_720/hls/index.m3u8
职路红颜,https://v2.ppqrrs.com/wjv2/202512/03/BFv9vvh49594/video/1000k_720/hls/index.m3u8
三十而立,https://v7.ppqrrs.com/wjv7/202511/29/QTQFPmbFRj89/video/1000k_720/hls/index.m3u8
护嫂狂医,https://v1.ppqrrs.com/wjv1/202512/05/KZBW5LxQ9Q91/video/1000k_720/hls/index.m3u8
漫入花园,https://v5.ppqrrs.com/wjv5/202603/08/PhXz0xQsXZ92/video/1000k_720/hls/index.m3u8
禁果游戏,https://v7.ppqrrs.com/wjv7/202607/28/KUy9gHt5R989/video/1000k_720/hls/index.m3u8
黄粱一梦,https://v13.wsyzym3u8.com/202603/05/21qJZU2xpd22/video/2000k_1080/hls/index.m3u8
黑夜幽欲,https://v5.ppqrrs.com/wjv5/202607/28/YtetBwAPCn97/video/1000k_720/hls/index.m3u8
花开花落,https://v8.ppqrrs.com/wjv8/202512/01/nZp2igQFuS93/video/1000k_720/hls/index.m3u8
扶摇直上2,https://v14.yuglf.com/202512/02/B0gEtNmLEG22/video/2000k_1080/hls/index.m3u8
恶女传说,https://v12.ppqrrs.com/wjv12/202603/05/MkTtST1L8Q91/video/1000k_720/hls/index.m3u8
堕落天使,https://v11.ppqrrs.com/wjv11/202603/05/r6PpBePz4h93/video/1000k_720/hls/index.m3u8
魅香幽兰,https://v9.ppqrrs.com/wjv9/202603/05/PCRLUpjk0L94/video/1000k_720/hls/index.m3u8
不凡人生,https://v7.ppqrrs.com/wjv7/202603/05/UgbJ4RZQ1895/video/1000k_720/hls/index.m3u8
龙承医道,https://v7.ppqrrs.com/wjv7/202603/05/zd7Px7z9KY92/video/1000k_720/hls/index.m3u8
留恋之情,https://v9.ppqrrs.com/wjv9/202601/15/zUFqyEP9AJ95/video/1000k_720/hls/index.m3u8
厂区情缘,https://v10.ppqrrs.com/wjv10/202509/12/ARpM35JSaN82/video/1000k_720/hls/index.m3u8
桃花村医,https://v4.wsyzym3u8.com/202411/24/TADPFBUXwJ20/video/2000k_1080/hls/index.m3u8
请君入瓮,https://v11.ppqrrs.com/wjv11/202509/12/kJYBt0K8nm83/video/1000k_720/hls/index.m3u8
活色生香,https://v8.ppqrrs.com/wjv8/202509/12/ZhCYccus9s80/video/1000k_720/hls/index.m3u8
翻手为云,https://v10.ppqrrs.com/wjv10/202509/12/Vbg38NMacv82/video/1000k_720/hls/index.m3u8
绝世圣手,https://v11.ppqrrs.com/wjv11/202509/12/JqKfZf7GYr83/video/1000k_720/hls/index.m3u8
横刀夺爱,https://v10.ppqrrs.com/wjv10/202511/04/dWyZxNahp082/video/1000k_720/hls/index.m3u8
指尖之恋,https://v11.ppqrrs.com/wjv11/202511/04/6gEttw8FQM83/video/1000k_720/hls/index.m3u8
璀璨繁星,https://v4.ppqrrs.com/wjv4/202511/29/Xd8nF2QMUS90/video/1000k_720/hls/index.m3u8
朝九晚六,https://v8.ppqrrs.com/wjv8/202511/29/MT4K2WTgQe96/video/1000k_720/hls/index.m3u8
一世情缘,https://v12.ppqrrs.com/wjv12/202511/29/dPLCz2HUgi90/video/1000k_720/hls/index.m3u8
浪漫满屋,https://v1.ppqrrs.com/wjv1/202512/05/3PF8b3yj3N91/video/1000k_720/hls/index.m3u8 
那些爱意,https://vvip.high26-playback.com/20260728/25067_d6b572a5/3000k/hls/mixed.m3u8
玫瑰勾火,https://hn.bfvvs.com/play/NbWZJpva/index.m3u8
桃源小神医,https://v3.wsyzym3u8.com/202410/12/1Mq5d5hxSQ2/video/2000k_1080/hls/index.m3u8
重生外卖员,https://v6.ppqrrs.com/wjv6/202601/15/Zgd7UpwmKS97/video/1000k_720/hls/index.m3u8
 职场无间道,https://v12.ppqrrs.com/wjv12/202607/28/rR1RLQHWWK93/video/1000k_720/hls/index.m3u8
心声密语者,https://v2.ppqrrs.com/wjv2/202603/08/EQvztBPEGZ96/video/1000k_720/hls/index.m3u8
师姐请放手,https://vvip.high26-playback.com/20260728/25070_42cf125d/3000k/hls/mixed.m3u8
妻子的背叛,https://v2.wsyzym3u8.com/202411/11/3RPkyGYaVh23/video/2000k_1080/hls/index.m3u8
无能的丈夫,https://v9.ppqrrs.com/wjv9/202603/05/1gBDYBS8aV94/video/1000k_720/hls/index.m3u8
极致的诱惑,,https://v12.ppqrrs.com/wjv12/202607/28/RNR2FY6AGC94/video/1000k_720/hls/index.m3u8
小程翻身记,https://v12.ppqrrs.com/wjv12/202603/08/6DsgCBaiA290/video/1000k_720/hls/index.m3u8
极品小神农,https://v14.wsyzym3u8.com/202603/08/mCDGVgsHAN22/video/2000k_1080/hls/index.m3u8
互换&交换,https://v11.ppqrrs.com/wjv11/202603/08/VKdrhLjv2w97/video/1000k_720/hls/index.m3u8
春风藏爱意,https://v1.ppqrrs.com/wjv1/202603/08/hScVQDwzKp92/video/1000k_720/hls/index.m3u8
易碎的玫瑰,https://v10.ppqrrs.com/wjv10/202603/05/sC0u69qvzs97/video/1000k_720/hls/index.m3u8
神级小厂长,https://v14.yuglf.com/202512/02/ewrTFH1q0y22/video/2000k_1080/hls/index.m3u8
女人的香味,https://v8.ppqrrs.com/wjv8/202603/05/swPBLWUd4T95/video/1000k_720/hls/index.m3u8
狂野小农民,https://v11.ppqrrs.com/wjv11/202601/15/ndTi1zF3pb96/video/1000k_720/hls/index.m3u8
爱逛后花园,https://v4.ppqrrs.com/wjv4/202511/29/xpjs7kuL9089/video/1000k_720/hls/index.m3u8
一品假太监,https://v10.ppqrrs.com/wjv10/202511/29/BSPz9TVKqZ89/video/1000k_720/hls/index.m3u8
风流小天师,https://v13.wsyzym3u8.com/202512/21/6yZt9yC25T22/video/2000k_1080/hls/index.m3u8
全能小医仙,https://v14.yuglf.com/202512/02/WYdLw9yBtx22/video/2000k_1080/hls/index.m3u8
逍遥小医仙,https://v4.ppqrrs.com/wjv4/202512/08/AcTispwFbB94/video/1000k_720/hls/index.m3u8
山野小闲医,https://v13.wsyzym3u8.com/202512/08/2evd0cEAGQ27/video/2000k_1080/hls/index.m3u8
老师不要跑,https://v1.ppqrrs.com/wjv1/202511/29/0hyTArUrr790/video/1000k_720/hls/index.m3u8
欲海重生路,https://v13.wsyzym3u8.com/202603/08/KgnR5wZNGT22/video/2000k_1080/hls/index.m3u8
机场爱情故事,https://v9.ppqrrs.com/wjv9/202512/01/rf5NXsVYyv97/video/1000k_720/hls/index.m3u8
乡村爱情故事,https://v11.ppqrrs.com/wjv11/202512/05/gQQPaE7TbN90/video/1000k_720/hls/index.m3u8
逆袭纵横职场,https://v14.wsyzym3u8.com/202512/03/GurW8mkjpq22/video/2000k_1080/hls/index.m3u8
张锋幸福生活,https://v10.ppqrrs.com/wjv10/202512/05/AN4svwDGe093/video/1000k_720/hls/index.m3u8
绝色主播女友,https://v13.wsyzym3u8.com/202512/21/HVQ84d4fqW22/video/2000k_1080/hls/index.m3u8
最强按摩技师,https://v12.ppqrrs.com/wjv12/202512/05/qNvdz8wAgk97/video/1000k_720/hls/index.m3u8
我的模特生涯,https://v14.wsyzym3u8.com/202512/08/Dn3qKyQa4y22/video/2000k_1080/hls/index.m3u8
我能偷听心声,https://v13.wsyzym3u8.com/202512/08/gTwcZ2aT9a22/video/2000k_1080/hls/index.m3u8
火花瞬间燃点,https://v12.ppqrrs.com/wjv12/202511/04/a5mwmKQYNs84/video/1000k_720/hls/index.m3u8
美女老板求放过,https://v10.ppqrrs.com/wjv10/202607/28/xGyX6x16B995/video/1000k_720/hls/index.m3u8
我的美女嫂子,https://v12.ppqrrs.com/wjv12/202509/12/TL2Apk0p8P84/video/1000k_720/hls/index.m3u8
我的医仙人生,https://cdn.yzzy27-play.com/20251021/23899_cb2b3d65/2000k/hls/mixed.m3u8
保安也有春天,https://v3.ppqrrs.com/wjv3/202603/05/V8gLJxmGes97/video/1000k_720/hls/index.m3u8
李飞的幸福生活,https://v2.ppqrrs.com/wjv2/202509/12/sgAD8Xu3Tp74/video/1000k_720/hls/index.m3u8
阿浪的神仙人生,https://v9.ppqrrs.com/wjv9/202511/29/FLStJYxyzi92/video/1000k_720/hls/index.m3u8
人间逍遥西门庆,https://v14.wsyzym3u8.com/202512/02/fnVbCeEcY322/video/2000k_1080/hls/index.m3u8
我的绝美老板娘,https://v10.ppqrrs.com/wjv10/202512/08/yctM3kvJtK95/video/1000k_720/hls/index.m3u8
非分之想,https://bf.jisuziyuanbf.com/play/hls/0dNgjZLe/index.m3u8
我当物业那些年,https://v8.ppqrrs.com/wjv8/202512/21/3i0JfjtwgG92/video/1000k_720/hls/index.m3u8
风流医仙俏佳人,https://v13.wsyzym3u8.com/202512/21/0A7wc5w40Y27/video/2000k_1080/hls/index.m3u8
我的小姨是霸总,https://v13.wsyzym3u8.com/202512/08/2x6WED2Tiq27/video/2000k_1080/hls/index.m3u8
小驴的巅峰人生,https://v8.ppqrrs.com/wjv8/202512/08/Pz8EN8PGbW94/video/1000k_720/hls/index.m3u8
无敌狂医闯花都,https://v13.wsyzym3u8.com/202512/05/Z85TnhwgZL22/video/2000k_1080/hls/index.m3u8
阿茂屌丝进城,https://thm3u8.com/20250407/ppXdRVow/index.m3u8
妈妈的韩国闺蜜,https://v2.ppqrrs.com/wjv2/202512/05/aZRtV88XsV97/video/1000k_720/hls/index.m3u8
请君入瓮复仇篇,https://v14.wsyzym3u8.com/202509/12/zBUseXjdrF24/video/2000k_1080/hls/index.m3u8
崛起之巅峰时刻,https://v14.yuglf.com/202512/02/dvDDpBWxub22/video/2000k_1080/hls/index.m3u8
我的绝色女房东,https://v11.ppqrrs.com/wjv11/202509/12/3g8hHSKzsk83/video/1000k_720/hls/index.m3u8
我和姨妈一家,https://v5.ppqrrs.com/wjv5/202604/13/4EXA4AjYTy88/video/1000k_720/hls/index.m3u8
一朝太子巅峰,https://bf.jisuziyuanbf.com/play/hls/kazJzl5a/index.m3u8
一条丝袜引发的,https://v10.ppqrrs.com/wjv10/202509/12/Gvy1xrgWZB82/video/1000k_720/hls/index.m3u8
富婆的专属外卖员,https://v2.ppqrrs.com/wjv2/202512/05/cxhAscsKSF92/video/1000k_720/hls/index.m3u8
温柔的诱惑第四版,https://v12.ppqrrs.com/wjv12/202509/25/0c1bNthW0w84/video/1000k_720/hls/index.m3u8
复仇后的亲密游戏,https://v8.ppqrrs.com/wjv8/202603/08/ZEybiLwr5h92/video/1000k_720/hls/index.m3u8
老板娘夸我太给力,https://v9.ppqrrs.com/wjv9/202512/08/DD9An9jaZv96/video/1000k_720/hls/index.m3u8
我的富豪美女房东,https://v2.ppqrrs.com/wjv2/202509/12/YTpUcrArfn74/video/1000k_720/hls/index.m3u8
我在医院混得风声水起,https://v14.yuglf.com/202508/28/uGzqFP8i4x19/video/2000k_1080/hls/index.m3u8
徒儿下山祸害老婆去吧,https://v12.wsyzym3u8.com/202410/03/3aghvz3zCa8/video/2000k_1080/hls/index.m3u8
高手下山我有六个姐姐,https://v13.wsyzym3u8.com/202512/21/RFweC71bQi27/video/2000k_1080/hls/index.m3u8
重生之我家娘子是金莲,https://v4.ppqrrs.com/wjv4/202512/03/YafyD54cEX96/video/1000k_720/hls/index.m3u8
物价贬值天堂即是深渊,https://cdn.yzzy27-play.com/20251016/23628_a21482d7/2000k/hls/mixed.m3u8
晚上我推开了厂花嫂子的门,https://v14.wsyzym3u8.com/202512/21/RzS73skZ1D27/video/2000k_1080/hls/index.m3u8
❤擦边短剧❤2,#genre#
我是江辰1,https://hn.bfvvs.com/play/meppLQQe/index.m3u8
我是江辰2,https://hn.bfvvs.com/play/hls/YaOj6yRe/index.m3u8
我是江辰3,https://hn.bfvvs.com/play/hls/meppLgye/index.m3u8
我是江辰4,https://hn.bfvvs.com/play/nellEY1e/index.m3u8
亲亲家人1,https://vodcnd02.rsfcxq.com/20250211/p7ssjFoW/index.m3u8
亲亲家人2,https://vodcnd02.rsfcxq.com/20250211/OVoZb0YE/index.m3u8
亲亲家人3,https://vodcnd02.rsfcxq.com/20250211/K2UoUHGu/index.m3u8
亲亲家人4,https://vodcnd02.rsfcxq.com/20250211/L5d8synx/index.m3u8
风雨夜未央1,https://play.xluuss.com/play/ZdPnoLza/index.m3u8
风雨夜未央2,https://hn.bfvvs.com/play/hls/9avnB3ga/index.m3u8
我的极品女房东1,https://v.gsuus.com/play/hls/0dNAZ7zb/index.m3u8
我的极品女房东2,https://v.gsuus.com/play/hls/oeEoNKkb/index.m3u8
我的极品女房东3,https://v.gsuus.com/play/hls/7ax4Zora/index.m3u8
我的极品女房东4,https://v.gsuus.com/play/hls/xbo4NAKd/index.m3u8
小姨子的幸福生活1,https://hn.bfvvs.com/play/1aMlEvPe/index.m3u8
小姨子的幸福生活2,https://hn.bfvvs.com/play/DdwDELge/index.m3u8
小姨子的幸福生活3,https://hn.bfvvs.com/play/rb2mgZja/index.m3u8
小姨子的幸福生活4,https://hn.bfvvs.com/play/lejmv3Bd/index.m3u8
飞上蓝天1,https://v3.wsyzym3u8.com/202402/22/4anttPaWjM2/video/2000k_1080/hls/index.m3u8
飞上蓝天2,https://v3.wsyzym3u8.com/202402/22/51K2niq7hG2/video/2000k_1080/hls/index.m3u8
